Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.33
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	2
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.79
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.29
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.88
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.29
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.5
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.33
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.83
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.79
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.42
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.08
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.88
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.17
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.5
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.04
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.92
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.88
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.54
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.21
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	2.08
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.29
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.67
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.17
